year,type_of_violence,Region,best_est,latitude,longitude,date_start,date_end,event_clarity
2014,1,Donetsk oblast,2,48.083333,38.066667,18/09/2014,19/09/2014,1
2014,1,Luhansk oblast,1,48.721895,39.25145,26/09/2014,26/09/2014,1
2014,1,Donetsk oblast,11,48.075,37.725556,28/09/2014,29/09/2014,1
2014,1,Donetsk oblast,3,48,37.805278,28/09/2014,29/09/2014,1
2014,1,Donetsk oblast,10,48,37.805278,01/10/2014,01/10/2014,1
2014,1,Donetsk oblast,1,48.075,37.725556,01/10/2014,02/10/2014,1
2014,1,Donetsk oblast,1,48,37.805278,02/10/2014,02/10/2014,1
2014,1,Donetsk oblast,0,48.14,37.74,02/10/2014,03/10/2014,1
2014,1,Luhansk oblast,0,48.92,39.02,02/10/2014,03/10/2014,1
2014,1,Donetsk oblast,6,48.075,37.725556,04/10/2014,05/10/2014,1
2014,1,Donetsk oblast,2,48,37.805278,06/10/2014,06/10/2014,1
2014,1,Luhansk oblast,1,48.683333,38.516667,07/10/2014,07/10/2014,1
2014,1,Luhansk oblast,2,48.633333,38.38,07/10/2014,07/10/2014,1
2014,1,Donetsk oblast,7,48.075,37.725556,07/10/2014,07/10/2014,1
2014,1,Donetsk oblast,4,47.961389,37.646389,06/10/2014,07/10/2014,1
2014,1,Donetsk oblast,13,48,37.805278,06/10/2014,07/10/2014,1
2014,1,Donetsk oblast,1,48,37.805278,08/10/2014,08/10/2014,1
2014,1,Donetsk oblast,5,48.075,37.725556,08/10/2014,08/10/2014,1
2014,1,Donetsk oblast,8,48,37.805278,09/10/2014,09/10/2014,1
2014,1,Donetsk oblast,3,48.075,37.725556,10/10/2014,10/10/2014,1
2014,1,Donetsk oblast,3,48,37.805278,09/10/2014,09/10/2014,1
2014,1,Donetsk oblast,3,48,37.805278,10/10/2014,11/10/2014,1
2014,1,Luhansk oblast,1,48.633333,38.38,10/10/2014,11/10/2014,1
2014,1,Donetsk oblast,2,48.075,37.725556,13/10/2014,13/10/2014,1
2014,1,Donetsk oblast,1,48.333333,38.4,13/10/2014,13/10/2014,1
2014,1,Donetsk oblast,5,47.18,37.69,14/10/2014,14/10/2014,1
2014,1,Donetsk oblast,2,48,37.805278,17/10/2014,18/10/2014,1
2014,1,,2,48.15,38.65,17/10/2014,18/10/2014,1
2014,1,Donetsk oblast,4,48,37.805278,18/10/2014,19/10/2014,1
2014,1,Luhansk oblast,0,48.92,39.02,19/10/2014,20/10/2014,1
2014,1,Donetsk oblast,1,48,37.805278,21/10/2014,22/10/2014,1
2014,1,Luhansk oblast,2,48.6789,38.9156,26/10/2014,27/10/2014,1
2014,1,Donetsk oblast,1,48,37.805278,30/10/2014,30/10/2014,1
2014,1,Luhansk oblast,1,48.724788,38.63232,30/10/2014,30/10/2014,1
2014,1,Donetsk oblast,1,48,37.805278,30/10/2014,31/10/2014,1
2014,1,Luhansk oblast,7,48.635588,38.643666,03/11/2014,04/11/2014,1
2014,1,Luhansk oblast,7,48.671413,38.763354,03/11/2014,04/11/2014,1
2014,1,Luhansk oblast,6,48.564161,38.644237,03/11/2014,04/11/2014,1
2014,1,Donetsk oblast,1,48,37.805278,04/11/2014,05/11/2014,1
2014,1,Donetsk oblast,2,48.075,37.725556,05/11/2014,05/11/2014,1
2014,1,Luhansk oblast,1,48.753333,38.9725,14/11/2014,14/11/2014,1
2014,1,Donetsk oblast,20,48.3,38.05,14/11/2014,14/11/2014,1
2014,1,Donetsk oblast,1,48,37.805278,14/11/2014,14/11/2014,1
2014,1,,1,48.15,38.65,13/11/2014,14/11/2014,1
2014,1,Donetsk oblast,17,48.075,37.725556,14/11/2014,15/11/2014,1
2014,1,Donetsk oblast,5,48.3,38.05,15/11/2014,15/11/2014,1
2014,1,Donetsk oblast,1,48,37.805278,16/11/2014,17/11/2014,1
2014,1,Donetsk oblast,1,47.095833,37.549444,20/11/2014,21/11/2014,1
2014,1,Donetsk oblast,1,48.075,37.725556,20/11/2014,21/11/2014,1
2014,1,Donetsk oblast,2,48,37.805278,25/11/2014,25/11/2014,1
2014,1,Donetsk oblast,3,48,37.805278,24/11/2014,24/11/2014,1
2014,1,Donetsk oblast,1,48.3,38.05,24/11/2014,25/11/2014,1
2014,1,Donetsk oblast,1,48.14,37.74,25/11/2014,26/11/2014,1
2014,1,Luhansk oblast,2,48.633333,38.38,26/11/2014,26/11/2014,1
2014,1,Donetsk oblast,2,48,37.805278,27/11/2014,27/11/2014,1
2014,1,Luhansk oblast,1,48.694329,39.453292,27/11/2014,27/11/2014,1
