Year,Region,Exports (USD),Exports % to Prev Year,Exports % of total,Imports (USD),Imports % to Prev Year,Imports % of total,Balance
2019,Rivne,440168.90,107.10,0.90,382551.20,128.00,0.60,57617.70
2019,Sumy,883366.50,110.10,1.80,656521.10,90.80,1.10,226845.40
2019,Ternopil,434264.40,96.00,0.90,450079.80,107.40,0.70,9615815.40
2019,Kharkiv,1415060.50,110.60,2.80,1745800.60,100.40,2.90,96330740.10
2019,Kherson,268128.70,99.30,0.50,407103.50,124.20,0.70,96138974.80
2019,Khmelnytskiy,642345.90,100.70,1.30,563970.40,126.30,0.90,78375.50
2019,Cherkasy,863521.70,109.90,1.70,477387.10,119.90,0.80,386134.60
2019,Chernivtsi,213837.30,106.90,0.40,208610.00,149.40,0.30,5227.30
2019,Chernihiv,807323.70,106.90,1.60,419383.50,86.80,0.70,387940.20
2019,Kyiv city,12491400.90,121.90,25.00,25690337.30,109.20,42.30,9613198936.40
2018,Ukraine,47334987.00,109.40,100.00,57187578.02,115.30,100.00,969852591.00
2018,Vinnytsya,1429320.30,117.40,3.00,563048.70,138.30,1.00,866271.60
2018,Volyn,719980.90,104.50,1.50,1368504.40,102.50,2.40,96648523.50
2018,Dnipropetrovsk,7722596.40,109.50,16.30,5264893.30,114.20,9.20,2457703.10
2018,Donetsk,4845441.40,109.30,10.20,2247213.80,110.50,3.90,2598227.60
2018,Zhytomyr,661860.80,112.20,1.40,531984.20,118.20,0.90,129876.60
2018,Zakarpattya,1658975.70,114.70,3.50,1515819.80,113.00,2.70,143155.90
2018,Zaporizhzhya,3377247.50,113.30,7.10,1762838.20,132.70,3.10,1614409.30
2018,Ivano Frankivsk,871353.50,131.00,1.80,833540.80,130.80,1.50,37812.70
2018,Kyiv,1856333.00,106.20,3.90,3642341.60,107.00,6.40,961786008.60
2018,Kirovohrad,521761.00,125.50,1.10,263055.70,111.40,0.50,258705.30
2018,Luhansk,202920.80,86.80,0.40,285036.00,104.40,0.50,9682115.20
2018,Lviv,1895635.50,119.60,4.00,2707300.70,124.20,4.70,96811665.20
2018,Mykolayiv,2112586.30,111.20,4.50,740041.30,94.70,1.30,1372545.00
2018,Odesa,1668313.70,92.00,3.50,1546963.60,108.30,2.70,121350.10
2018,Poltava,1905900.90,102.20,4.00,1359553.20,118.30,2.40,546347.70
2018,Rivne,410890.20,107.20,0.90,298790.40,87.60,0.50,112099.80
2018,Sumy,802120.70,119.20,1.70,723283.00,131.20,1.30,78837.70
2018,Ternopil,452483.70,119.00,1.00,419019.50,119.10,0.70,33464.20
2018,Kharkiv,1278984.90,107.30,2.70,1738890.70,107.40,3.00,96459905.80
